lat,lon
45.4926837,9.3308334
45.5140654,9.2175542
45.4609216,9.0912815
45.5585484,8.9469517
45.4896876,9.187804
45.5027695,9.1637105
45.5834251,9.2853307
45.5922346,9.2208884
45.4674072,9.181269
45.4683546,9.1814724
45.4688858,9.1916093
45.4417323,9.1748069
45.4658583,9.1958758
45.4666192,9.1952047
45.4719127,9.1853649
45.5189221,9.3594944
45.6218848,9.3764924
45.4634406,9.1983911
45.4653724,9.1983444
45.4675564,9.1833286
45.4606726,9.1834537
45.4652114,9.1908511
45.4609311,9.2800967
45.461006,9.2802896
45.6977677,9.1788734
45.483618,9.1818463
45.4839356,9.1812765
45.4830186,9.1817603
45.4835745,9.1815652
45.4832212,9.1817917
45.4833807,9.1829195
45.4831282,9.1817696
45.4838976,9.1821395
45.4837152,9.1818776
45.4754394,9.2145513
45.4794662,9.1836059
45.4727975,9.2325441
45.5526815,9.2218491
45.5793353,9.2599946
45.5853358,9.2744004
45.4943732,9.4128798
45.4161096,9.2610188
45.4759192,9.2074484
45.6154575,9.3107006
45.4806813,9.188714
45.4809192,9.1888253
45.4807705,9.1926856
45.4810239,9.1927387
45.5096381,9.0886237
45.5099835,9.087528
45.5840554,9.2715833
45.5926765,9.27146
45.4368521,9.3121919
45.5003099,9.1295512
45.4898958,9.1535625
45.500216,9.1389958
45.5525841,9.2359271
45.4657304,9.1508317
45.4655893,9.1514594
45.6534821,9.3748392
45.4674078,9.1427734
45.4872826,9.1670054
45.4444081,9.1825309
45.5714533,9.2660957
45.4830752,9.1728373
45.5020977,9.1400756
45.4345436,9.2043652
45.6076105,9.2634926
45.6133845,9.2727521
45.5689141,9.1955952
45.472109,9.1868077
45.5937863,9.2747234
45.4685572,9.1810535
45.4883623,9.1895636
45.4874506,9.1910656
45.4896726,9.1958844
45.488016,9.1896562
45.4898963,9.1889095
45.4896123,9.1888767
45.4896986,9.1888883
45.489843,9.1901651
45.4864615,9.1957816
45.4875554,9.1958281
45.6261112,9.2753383
45.6291619,9.2742622
45.4576528,9.2078244
45.4491507,9.2170643
45.4821002,9.3301671
45.5062209,8.9707836
45.446628,9.1786936
45.4611083,9.1833265
45.498139,9.1343626
45.4979364,9.14514
45.6358823,9.2706783
45.640029,9.2696719
45.4554005,9.1972151
45.5742845,9.2685212
45.6525609,9.1675088
45.6552194,9.1727123
45.6529836,9.1614152
45.4826039,9.1989669
45.4829391,9.1990118
45.4825395,9.1989073
45.4816161,9.1973941
45.4824823,9.2013816
45.4819446,9.2008223
45.4818022,9.1944257
45.4841985,9.2017064
45.6636887,9.1518016
45.4889421,9.2261166
45.4926346,9.217102
45.6304153,9.3308355
45.4956062,9.1831755
45.4921735,9.2687174
45.6627271,9.1480711
45.4655132,9.190644
45.5316296,9.0684916
45.4419981,9.1789722
45.4396872,9.1830772
45.6238846,9.0404873
45.4330059,9.1808234
45.6309756,9.1466566
45.4697614,9.1946099
45.5828214,9.2790444
45.5813243,9.2762696
45.5148158,9.1694856
45.4789923,9.1885992
45.4809064,9.1891102
45.4780921,9.1883177
45.4781575,9.1880019
45.4795424,9.1886103
45.4783916,9.1879333
45.4784505,9.1881915
45.4802283,9.1933363
45.4757981,9.1950893
45.4655281,9.1927515
45.4650375,9.1933737
45.4659129,9.1910517
45.4949809,9.1983729
45.488407,9.2040284
45.5000008,9.2216454
45.6675353,9.1589965
45.6642129,9.1617969
45.6456707,9.138166
45.6503173,9.1404742
45.6625873,9.1569972
45.5311468,9.2166256
45.4664861,9.181255
45.4664616,9.1833309
45.5403777,9.2310994
45.4993894,9.225069
45.6558405,9.2546118
45.4574236,9.2069239
45.4983555,9.1978285
45.6647915,9.1619326
45.5728153,9.4689691
45.5925635,9.2338576
45.58438,9.4608748
45.5757542,9.4703303
45.4234207,9.0623585
45.4275,9.0509703
45.4819206,9.1746909
45.4828666,9.1769445
45.4261125,9.0705682
45.4235701,9.0640898
45.4768349,9.2055281
45.4767293,9.2054298
45.445143,9.24847
45.5898911,9.2896377
45.5859341,9.2817094
45.5836617,9.2843386
45.4446352,9.2464417
45.6610514,9.1587939
45.3618155,9.3257327
45.3569857,9.3234093
45.4894684,9.1833367
45.4893324,9.182939
45.4889294,9.1839905
45.6501231,9.142954
45.4591224,9.181524
45.4941046,9.1876918
45.4941572,9.1875879
45.6427188,9.140563
45.6425838,9.1304495
45.5136726,9.3620412
45.5198841,9.3654035
45.6407441,9.1624608
45.5894376,9.2530528
45.5043973,9.3607235
45.4380431,9.1784926
45.4511934,9.1713842
45.4842997,9.2346889
45.4773202,9.216369
45.662782,9.1544981
45.6292345,9.0875495
45.5735383,9.2861249
45.5147627,9.2122281
45.5328231,9.2471787
45.530118,9.2480242
45.528091,9.2452927
45.4780438,9.1680662
45.4459322,9.1787109
45.4973773,9.1378306
45.468455,9.18532
45.4860035,9.2325328
45.4752777,9.2048123
45.4804457,9.192291
45.4784052,9.1891516
45.4805429,9.1915001
45.6497254,9.220773
45.6500528,9.2162198
45.6409886,9.195188
45.5219145,9.0979547
45.6190029,9.2705107
45.5922561,9.2533727
45.463141,9.2303829
45.5046871,9.3381398
45.4837988,9.2192067
45.5700114,9.2648865
45.5714177,9.2635182
45.4803738,9.2186161
45.4801832,9.2173629
45.4792485,9.2176499
45.4836435,9.216569
45.4834216,9.2166921
45.4774881,9.1952171
45.6386957,9.1606777
45.4801766,9.2029519
45.4805268,9.2018525
45.4803392,9.2017007
45.3478096,9.1969921
45.368389,9.3159362
45.4371095,9.1939358
45.4852774,9.2296911
45.4830386,9.2238029
45.5911029,9.334508
45.634955,9.1420185
45.45473,9.1185597
45.4799311,9.1966466
45.4898106,9.1831493
45.49017,9.1830088
45.4783412,9.1992967
45.4795002,9.1949556
45.4887963,9.1824849
45.4777085,9.1988894
45.4793105,9.1961213
45.4894833,9.1820443
45.4899831,9.1835162
45.5546927,9.2158674
45.3693258,9.1370253
45.6542149,9.18596
45.5991033,9.3586086
45.5313085,9.2365845
45.4622405,9.2360675
45.4276867,9.3069678
45.5942437,9.2928942
45.5949072,9.2936948
45.5946237,9.2933435
45.460353,9.1755994
45.5304803,9.0415611
45.488718,9.2989152
45.4908834,9.295994
45.4726821,9.1961862
45.4560712,9.1806078
45.4973808,9.1334343
45.4947147,9.1407937
45.493925,9.1424996
45.3571993,9.0701674
45.4963276,9.1507031
45.5286196,9.3381925
45.5289447,9.3321575
45.4822758,9.1796969
45.4816066,9.1795041
45.4818191,9.1801089
45.4827529,9.1808669
45.4815783,9.1803355
45.4513115,9.2593973
45.6053074,9.2355118
45.510428,9.2186259
45.4472755,9.1587508
45.4556419,9.1580296
45.4802292,9.1237312
45.5709455,9.2703899
45.566732,9.2830563
45.5167367,9.3384831
45.3250221,9.1363469
45.4622739,9.1741956
45.4959198,9.1459933
45.4476598,9.1563151
45.4626968,9.1728026
45.4079528,9.038542
45.4804696,9.1831214
45.4790417,9.1843826
45.4798042,9.183619
45.482374,9.1819842
45.4820624,9.1829233
45.4788087,9.184581
45.4822121,9.1823652
45.4821312,9.1827039
45.4966679,9.3723321
45.6766559,9.1723193
45.4242018,9.0581257
45.6011645,9.3612698
45.4778684,9.1889669
45.4781788,9.1890872
45.4779283,9.1879961
45.4775067,9.1885319
45.4775027,9.1880448
45.4775785,9.1880661
45.4775087,9.2032323
45.5156386,9.075277
45.5089078,9.090111
45.5402539,9.2294927
45.4754006,9.1837575
45.480312,9.1812807
45.4814243,9.1773921
45.468242,9.1742423
45.4672698,9.184964
45.4808627,9.1794635
45.4800759,9.1812391
45.4806329,9.1813366
45.6597706,9.2560829
45.6585819,9.2551498
45.3803082,9.1430429
45.4643262,9.231384
45.5406988,8.9737425
45.4381862,9.2245669
45.5111813,9.2545749
45.5059371,9.2228967
45.5061916,9.2233495
45.504295,9.2223907
45.5063471,9.2233312
45.5047854,9.2221209
45.5715764,9.2838237
45.5169291,9.2975272
45.5209522,9.2701463
45.4611895,9.244294
45.4821259,9.1978339
45.4826556,9.1980147
45.48331,9.1977401
45.4833885,9.1974154
45.4817928,9.1974783
45.4830466,9.1984219
45.4823229,9.1976929
45.3754168,9.1695803
45.5178317,9.0716253
45.4865345,9.2377116
45.4848895,9.2096823
45.4857711,9.2094518
45.5969152,9.2570827
45.5072078,9.2075749
45.5076169,9.2036845
45.5031055,9.2110251
45.4447342,9.2453134
45.6559183,9.1719305
45.430443,9.2454935
45.4253705,9.2521869
45.4712732,9.1825909
45.4087722,9.2675601
45.4805838,9.1971315
45.4776429,9.1854305
45.4786894,9.1856855
45.4863963,9.1900955
45.4801588,9.1868035
45.5023062,9.2119567
45.4600338,9.2386566
45.4847983,9.2105145
45.4831145,9.209744
45.4828821,9.2092508
45.4834021,9.210041
45.4830203,9.209645
45.4838549,9.2099503
45.4847408,9.210068
45.4846343,9.2108151
45.4837293,9.2097268
45.481675,9.2197565
45.5381022,9.2381856
45.5381303,9.2347182
